word,most_similar_words
fag,"party, watching, front, case, leicester, worst, comes, kid, house, gets"
fags,
women,"party, without, comes, kid, watching, leftist, gets, jews, hit, killed"
woman,"next, it\u2019s, old, times, mongy, big, lot, tonight, watch, you\u2019re"
men,"enough, used, year, bc, fans, last, watching, it\u2019s, hit, comes"
man,"word, yeah, nigger, time, see, tell, saying, look, even, kill"
queer,"without, kid, comes, party, women, etc, watching, gets, case, nazi"
queers,
nigga,"guy, little, thought, looks, dude, words, baby, mad, girl, piece"
niggas,"girl, bitch, im, thought, nigger, man, nigga, guy, looks, saying"
niggaers,
nigger,"man, time, saying, word, got, niggas, im, thought, cunt, wrong"
spic,"faggot, retarded, look, know, retard, got, cunt, nigger, word, man"
jew,"bc, fans, watching, times, last, kid, hit, year, \u2014, men"
faggot,"retarded, spic, retard, cunt, look, got, stupid, word, know, nigger"
retard,"retarded, cunt, faggot, spic, look, twat, stupid, still, word, man"
retards,"read, chinese, language, whatever, hurt, name, dont, asked, stuff, butt"
moron,"must, hope, went, nothing, trying, raghead, everyone, probably, cuz, liberal"
morons,"fired, 9, ألا, f\u2026, الخلق, ويمارس, advanced, grill, ben, guerre"
cripple,
cracker,"lil, hes, literally, nah, big, funny, game, dirty, i\u2019m, try"
gook,"high, eyes, pulled, girls, boy, name, 100, k, “, chinese"
greaser,
gringo,"balls, pathetic, offense, negro, 'faggot, planet, apparently, asshole, twitter, win"
gusano,
wetback,"think, calling, get, call, stupid, retarded, beaner, spic, look, word"
slave,"dick, chinaman, video, kid, games, house, jesus, hit, lost, wanted"
oreo,
chimp,"raised, nazi, social, christ, house, drink, worst, 18, mother, plastic"
orc,
pocahontas,
redskin,
snowflake,"grey, dorms, stokecity, mythoman, tiaga, radin, com\u2026, 2005, blunt, m'appelle"
goy,
kike,"around, sit, amp, twitter, must, answer, dirty, thinks, getting, send"
yid,
osama,
terrorist,"leftist, since, bring, enough, feminazi, instead, refugees, it\u2019s, guys, trying"
raghead,"best, something, nothing, don\u2019t, black, mongy, next, everyone, hope, beat"
sheep,"shane, chief, echo, couple, security, courage, case, sucking, government, loong"
dim,"mr, عبثاً،, hahahahahaha, rip, feet, joon, connu, villes, rat, sayoc"
disabled,
freak,"nah, everything, mongy, old, woman, joke, ya, next, cos, didn\u2019t"
handicap,"kouchner, protegera, ultras, m'empecher, appelé, providence, croyait, l'aime, humain, berbères"
junkie,
midget,"bday, clean, building, walmart, sitting, jake, behaviour, hilarious, sequence, kinda"
mong,
retarded,"faggot, retard, spic, cunt, look, know, stupid, word, think, man"
schizo,
spaz,
yuppie,
tard,"elle, ça, mais, pute, en, blanc, ou, seulement, monde, dit"
mongol,"non, gros, quoi, toi, temps, mec, là, dis, vu, rien"
deformed,
whore,"video, hair, artist, wanted, body, bunch, minutes, outside, kid, 2"
slut,"massive, roberts, wrote, absolute, blind, span, bruh, feel, glad, complete"
bitch,"im, niggas, girl, shut, nigger, got, looks, man, nigga, shit"
hag,
cunt,"retard, twat, faggot, retarded, stupid, still, word, man, nigger, tell"
tranny,"bruh, drunk, absolute, ugly, dumb, phone, roberts, sounds, feel, fuckin"
bimbo,
feminazi,"behind, trying, can\u2019t, it\u2019s, black, next, used, guys, new, imagine"
twat,"cunt, still, much, tell, right, 'll, time, really, pretty, hate"
cuckold,"qu'un, …, هذي, l'invasion, johnson, وجه, اصلك, وغير, امرأة, القذر"
cuck,"dick, bunch, fag, hit, i\u2019ll, show, watching, didn\u2019t, tf, outside"
neckbeard,
manlet,
soy,"apu, =d, highest, mongols, 15, hat, water, fag, soros, party"
prick,"soup, kris, ford, intellectual, talent, taker, centre, playlist, artist, social"
lesbian,"right, hate, horrible, still, sure, beaner, pretty, calling, think, really"
fruity,
groomer,
