word,most_similar_words
chinaman,"shoehorn, nutjob, dickbag, americanized, chinamen, jigaboo, bushman, pizzaman, gobbler, bahahhahahaha"
chink,"chinky, asain, blasian, squint, chinks, devilish, squinty, fagg, eyed, cockeyed"
negro,"blanco, rojo, gordo, negra, negros, viejo, azul, verde, gato, feo"
gypsy,"boho, bohemian, gypsies, soul, hippie, burlesque, gothic, gipsy, lady, gypsie"
prostitute,"hooker, prostitutes, whore, slut, stripper, tramp, prostitue, pregnant, crackhead, rapist"
hooker,"prostitute, whore, hookers, destinee, pirate, prostitutes, tramp, slut, skank, crackhead"
cougar,"milf, mature, cougars, milfs, amateur, panther, hottie, teen, hardcore, tits"
crone,"marrissa, themis, grizzled, loomis, lemke, clarkey, finnie, crockery, carlon, toyboy"
hussy,"floozy, nympho, brunette, chicky, slore, trollop, skeezer, huzzy, nigglet, blondie"
ho,"hai, io, mai, per, però, ha, non, che, poi, fatto"
fag,"faggot, cunt, fags, faggots, dumbass, whore, asshole, dickhead, loser, weirdo"
fags,"faggots, fag, cunts, faggot, dickheads, whores, dumbasses, twats, weirdos, pussies"
women,"woman, men, girls, womens, ladies, females, female, they, people, these"
woman,"girl, women, guy, she, person, wife, female, mother, lady, who"
men,"women, man, mens, woman, girls, under, guys, boys, are, we"
man,"dude, boy, guy, shit, was, 's, bad, men, that, lol"
queer,"fag, faggot, feminist, gay, cunt, nerd, whore, dork, fagget, lesbian"
queers,"fags, faggets, faggots, faggs, rednecks, weirdos, deers, fatties, arseholes, commies"
nigga,"niggas, bruh, bitch, niggah, dawg, aint, shit, homie, cuz, lmao"
niggas,"niggaz, bitches, hoes, nigga, yall, mfs, aint, females, niggahs, these"
niggers,"nigger, faggots, niggahs, niggas, bitches, nigguhs, fuckers, nigggas, nikkas, niggaz"
nigger,"niggers, faggot, cunt, niggah, fag, fucker, bitch, nigga, motherfucker, dick"
spic,"spick, wetback, wigger, beaner, nigger, darkie, chent, fagg, faggit, thieving"
jew,"jea, kew, mcm, larh, jerr, pown, jgk, kot, ckp, saje"
faggot,"fag, cunt, asshole, fagget, faggots, dumbass, whore, nigger, stfu, dickhead"
retard,"tard, idiot, retards, dumbass, suis, douche, retarded, cours, arriver, désolé"
retards,"morons, dumbasses, idiots, weirdos, jackasses, dickheads, retard, fucktards, faggots, twats"
moron,"idiot, morons, ignorant, dumbass, asshole, scumbag, fucktard, stupid, imbecile, prick"
morons,"idiots, dumbasses, retards, twats, racists, moronic, dickheads, fucktards, bigots, politicians"
cripple,"crippled, crutches, scrawny, cripples, wigger, fagget, faggit, frail, fuckboy, turd"
cracker,"crackers, biscuit, barrel, doughnut, nut, egg, donut, sausage, biscuits, sandwich"
gook,"guk, joog, bumb, yeo, seok, goob, sook, eggroll, crackpot, goony"
greaser,"scruffy, unkempt, beardy, combover, disheveled, likr, douchbag, scruff, wigger, goatee"
gringo,"americano, rasta, mexicano, colombiano, chino, japones, imperio, peruano, coreano, cubano"
gusano,"mordió, manzana, contenedor, muerde, mariposa, desgraciado, mordio, lagartija, perro, arrastre"
wetback,"beaner, spic, wigger, messican, fuckboy, toolbag, dirtball, skeezer, weeaboo, dickwad"
slave,"slaves, child, slavery, mistress, ancestors, wife, servant, bondage, woman, trapped"
oreo,"oreos, chocolate, cheesecake, brownie, brownies, cookie, cookies, mcflurry, nutella, cream"
chimp,"chimpanzee, baboon, gremlin, chimps, raccoon, giraffe, ferret, shrew, monkey, madman"
orc,"neocon, recon, orcs, ogre, infestation, smeagol, doron, saruman, aquaman, klingon"
pocahontas,"mulan, tarzan, willow, aladdin, disney, ratatouille, rapunzel, cinderella, tinker, matilda"
redskin,"steeler, redskins, httr, knick, bearcat, seahawk, deadskins, laker, cowboys, bronco"
snowflake,"ornament, snowflakes, ornaments, reindeer, snowman, necklace, earrings, flower, ballerina, swarovski"
goy,"fid, chaa, noy, rud, zah, deyy, qor, puy, dud, rul"
kike,"calvo, javi, chuy, adri, beto, remolino, toño, guille, cholo, acuña"
yid,"yids, coys, scum, pikey, gooner, wankers, cunts, gobshite, nobhead, bastards"
osama,"laden, saddam, hussein, ladin, hitler, bin, killed, seals, sadam, barack"
terrorist,"terrorists, terrorism, attacks, bombing, extremist, taliban, muslim, jihadist, communist, qaeda"
raghead,
sheep,"cows, sheeps, goats, goat, cow, pigs, chickens, pig, wolves, cats"
dim,"res, fi, cha, wi, gen, cen, ling, ded, rul, ret"
disabled,"elderly, vehicle, vets, disability, homeless, handicapped, abused, unemployed, blocked, children"
freak,"freaks, freaky, shit, crazy, nasty, creep, bitch, weirdo, hell, ass"
handicap,"handicapped, parking, stall, accessible, wheelchair, garage, disabled, parked, valet, chauffeur"
junkie,"fanatic, junkies, addict, bassline, wannabe, enthusiast, fiend, junky, maven, geek"
midget,"midgets, crackhead, dwarf, kid, faggot, tall, ass, chick, chubby, fat"
mong,"kaibigan, ayaw, kaklase, sabihin, kung, wag, niya, hindi, sarili, sinasabi"
retarded,"retarted, dumb, stupid, dumbass, silly, funny, ignorant, annoying, weird, ugly"
schizo,"psyco, psychopath, pyscho, phsyco, physco, psycho, hermaphrodite, borderline, insolent, psychopathic"
spaz,"spazz, panick, spastic, tweaker, fucktard, spasm, dipshit, spazzing, goof, weirdo"
yuppie,"woooop, woohoo, whoohoo, congratuwelldone, yayy, wooop, woooooot, whoooop, woop, wahey"
tard,"tôt, sinon, sais, moi, coucher, maintenant, donc, demain, nuit, avant"
mongol,"besta, troxa, palhaço, mongo, palhaça, babaca, imbecil, demente, retardado, モンパチ"
deformed,"mutated, fugly, diseased, wonky, chinky, cock-eyed, mangled, squished, hideous, demented"
whore,"slut, cunt, faggot, whores, bitch, asshole, fag, skank, ugly, hoe"
slut,"whore, cunt, slag, sluts, asshole, fag, faggot, bitch, skank, slutty"
bitch,"nigga, fuck, ass, bitches, hoe, shit, girl, fuckin, damn, cuz"
