word,most_similar_words
chinaman,"dibbly, leggies, left_arm_chinaman, jaffa, wrong'un, jaffas, leggie, chinamen, googly_bowler, trundler"
chink,"chinks, Achilles_heel, flaw, soft_underbelly, silver_lining, weaknesses, glimmer, silver_linings, flaws, Chinks"
negro,"Negro, negroes, mulatto, nigger, Negroes, octoroon, darkies, niggers, negros, slavemasters"
gypsy,"gipsy, gypsies, Gypsy, Moken_sea, Roma_Gypsy, Gypsies, gipsies, Gipsy, wandering_minstrel, flamenco"
prostitute,"prostitutes, pimp, prostitution, brothel, transvestite_prostitute, brothel_madam, stripper, gigolo, streetwalker, transsexual_prostitute"
hooker,"flanker, blindside_flanker, scrumhalf, openside_flanker, openside, loosehead_prop, backrower, flyhalf, loosehead, tighthead_prop"
cougar,"cougars, mountain_lion, coyote, bobcat, grizzly, wolf, moose, mountain_lions, grizzly_bear, coyotes"
crone,"hag, crones, gorgon, harridan, spinster, dowager, harpy, Mrs._Ganush, enchantress, shepherdess"
hussy,"trollop, minx, floozy, strumpet, harlot, hussies, skanky, bimbo, golddigger, hag"
ho,"hearty_ho_ho, bellowed_Ho_ho, Yoon_Jang, director_Bong_Joon, jolly_ho_ho, han, Choi_Jae, hee, hun, Jung_Jae"
fag,"fags, fagot, ciggie, ciggy, poofter, Fag, spliff, wanker, chamcha, cunt"
fags,"ciggies, cigs, ciggie, baccy, cunts, ciggy, spliffs, booze, twats, b_******_s"
women,"men, Women, womens, girls, females, mothers, ladies, husbands, transwomen, Men"
woman,"man, girl, teenage_girl, teenager, lady, teenaged_girl, mother, policewoman, boy, Woman"
men,"women, Men, males, mens, boys, man, females, teenagers, girls, ladies"
man,"woman, boy, teenager, teenage_girl, girl, suspected_purse_snatcher, robber, Robbery_suspect, teen_ager, men"
queer,"genderqueer, LGBTQ, gay, LGBT, lesbian, GLBT, Queer, GLBTQ, queers, gay_bisexual_transgendered"
queers,"homos, homosexuals, queer, lesbians, homophobes, gay, bi_sexuals, gays, LGBTs, GLBTs"
nigga,"niggas, n_*_gga, ni_**, n_*_ggas, homie, Niggas, kanye, motherf_*_cker, **_ga, sh_*_t"
niggas,"nigga, n_*_ggas, ni_**, n_*_gga, brothas, rappers, Niggas, sh_*_t, homie, kanye"
niggers,"nigger, n_*****, honkies, n_****_rs, spics, darkies, kaffirs, n_-----, racists, negroes"
nigger,"n_-----, niggers, n_****_r, Nigger, n_*****, nigger_lover, fagot, word_nigger, n_*_gger, darkie"
spic,"spick, spotlessly_clean, presentable, filthy, shipshape, paan_stains, immaculately_clean, paan_stained, unkempt, spotless"
jew,"jews, jewish, rahm, mhux, yid, jessie, yur, israel, gilbert, kol"
faggot,
retard,"retards, retarded, retarding, inhibit, hinder, impede, retardation, word_retard, stunted, hasten"
retards,"retard, retarded, THATS, retarding, impedes, hinders, cripples, ignorants, damm, morons"
moron,"idiot, morons, dumbass, idiots, dolt, jackass, asshole, imbecile, douchebag, bozo"
morons,"idiots, assholes, moron, cretins, nitwits, boneheads, dolts, numbskulls, yahoos, fools"
cripple,"devastate, decimate, paralyze, imperil, undermine, cripples, crippling, threaten, hamper, disrupt"
cracker,"crackers, residual_fluid_catalytic, residue_fluid_catalytic, Oreo_cookies_Ritz, biscuit, rationed_bubble_gum, Cracker, refinery_fluid_catalytic, butty, gave_Polizzi_graham"
gook,"gooks, wun, nam, chae, banh, Gooks, jang, nim, jjigae, diculous"
greaser,"greasers, hellcat, roue, grease_monkey, moll, leather_jacketed, greasy_haired, Kenickie, biker_chick, pompadours"
gringo,"gringos, gringa, pendejo, gabacho, Yanqui, muchachos, beaner, Mexican, policia, paisanos"
gusano,
wetback,"beaner, wetbacks, spics, pinche, n_**_ger, pendejo, dago, beaners, mierda, nigger"
slave,"slaves, slavery, enslaved, enslaved_Africans, slaver, slavers, Abraham_Lincoln_emancipation, slave_masters, abhorred_slavery, slaveholders"
oreo,"gooey_chocolate, hush_puppy, krispy, eggwhite, oreos, sammich, bundt, nogs, jimmies, parm"
chimp,"chimpanzee, chimps, chimpanzees, gorilla, monkey, Chimpanzee, ape, primate, orangutan, baboon"
orc,"orcs, Uruk_hai, tauren, Blood_Elf, Arthas, Darkspawn, Orcs, Dalaran, goblin, draenei"
pocahontas,
redskin,"redskins, squaw, injun, peckerwood, beaner, Injun, ocho_cinco, n_*_gger, dago, Raghead"
snowflake,"snowflakes, Snowflakes, winter_wonderlands, raindrop, hoarfrost, pinecone, snow, snowmen, flakes, Libbrecht"
goy,"goyim, tzadik, Jew, gadol, Oy_vey, ba'al, Semite, frum, baruch, shiksa"
kike,"f_-----_g, nigger, kikes, f_-----, f_****_t, beaner, n_*_gger, f_cking, fucking_fagot, f_---_ing"
yid,"Yid, cohen, fuk, stfu, lyk, jessie, hahahahah, neville, daspecial1, yids"
osama,"george_bush, taliban, watever, osama_bin_laden, mohammed, chavez, michael_jackson, pakistanis, al_qaida, hillary"
terrorist,"terror, terrorists, terrorism, al_Qaeda, Terrorist, Al_Qaeda, extremist, al_Qa'ida, jihadist, al_Qaida"
raghead,"ragheads, Raghead, Paki, jest_Knotts, fagot, colleague_Paki, macaca, paki, nigger, nappy_headed"
sheep,"lambs, cows, goats, cattle, livestock, ewes, lamb, goat, herd, Sheep"
dim,"dimmed, dimming, dimmer, dims, bright, darkened, flickering, dimmest, bleak, brighter"
disabled,"handicapped, disabilities, physically_challenged, Disabled, visually_impaired, mentally_disabled, wheelchair_bound, physically_handicapped, PEER_SUPPORT, Crashed_spun"
freak,"freaks, freakish, freaky, maniac, crazy, weird, freak_occurrence, weirdo, cocky_arrogant, Cassy_Hobert"
handicap,"handicaps, handicapper, Handicaps, King_Killone, worth_chancing, #m#_½_f, 5lb, totesport_Mile, Dhaular_Dhar, Burntoakboy"
junkie,"addict, junkies, fiend, aficionado, aholic, fanatic, nerd, holic, geek, groupie"
midget,"midgets, Midget, bantam, peewee, midget_AAA, pee_wee, midget_hockey, pee_wee_bantam, peewee_bantam, Peewee"
mong,"anong, Ang_dami, sa_ibang, yung_ibang, yata, na_mga, Maraming, na_ang_mga, ng_ibang, ano_ba"
retarded,"retard, retardation, dumb, retards, mentally_retarded, stupid, retarted, dumbass, feebleminded, effed"
schizo,"schizophrenic, schizoid, batshit, tourettes, batshit_crazy, borderline_personality, psychotic, penis_envy, dickish, Tourettes"
spaz,"spastic, douchebag, mosher, douche_bag, dork, spazz, asshole, tourettes, weirdo, noob"
yuppie,"yuppies, hipster, yuppy, bohos, suburbanite, WASPy, hipsters, trustafarian, yuppified, Yuppie"
tard,"tards, motherf_**, f_**, cks, fuc, mcmahon, motherf_*****, sh_*, diculous, ckers"
mongol,
deformed,"misshapen, severely_deformed, deformities, misshaped, deformity, webbed_fingers, horribly_deformed, skeletal_deformities, malformed, dorsally"
whore,"whores, slut, bitch, skank, trollop, cunt, bitch_whore, crack_whore, slut_whore, b_*_tch"
slut,"whore, skank, sluts, whore_slut, bitch_whore, lesbo, skanky, bitch, slutty, fag_hag"
bitch,"bitches, b_*_tch, ab_****, ab_*_tch, b_****, bitch_bitch, whore, fucking_bitch, b_**_ch, ab_**_ch"
hag,"hussy, crone, golddigger, harpy, trollop, whore, nympho, strumpet, harridan, hags"
cunt,"pussy, dick, b_*****_d, c_***, twat, arsehole, bitch, whore, b_****, cunts"
tranny,"trannies, rearend, autobox, Tremec, slushbox, trannie, six_speed_manumatic, diff, #L##E, manumatic"
bimbo,"airhead, blonde_bimbo, floozy, ditz, bimbos, dumb_blonde, sexpot, hussy, golddigger, skank"
feminazi,"commie_pinko, feminazis, whackjob, women_libber, male_chauvinist_pig, nerd_geek, chauvinist_pig, harpie, Andrea_Dworkin, libtard"
twat,"twit, prat, berk, numpty, cunts, tw_*, pillock, arsehole, eejit, twats"
